question_code,question
ZT117,Er bestaat in mijn team een duidelijke visie op zorg  gebaseerd op evidentie met impact op de patiëntenzorg.
ZT47,Ik ken de visie van mijn directe leidinggevende op zorg.
ZT49,Mijn directe leidinggevende vertrouwt mij.
ZT50,Ik zal het vertrouwen van mijn directe leidinggevende nooit schenden.
ZT52,Ik vind dat mijn directe leidinggevende de nodige capaciteiten heeft om het team te leiden.
ZT55,Mijn directe leidinggevende pakt conflicten binnen het team op een goede manier aan.
ZT56,Mijn directe leidinggevende pakt organisatorische problemen op een goede manier aan.
ZT48,Mijn directe leidinggevende ervaar ik als inspirerend.
ZT45,Mijn directe leidinggevende steunt en luistert naar mij.
ZT61,Ik ken de directie in mijn organisatie.
ZT63,Ik heb vertrouwen in de directie van mijn organisatie.
ZT59,Mijn directe leidinggevende probeert in de mate van het mogelijke rekening te houden met mijn wensen inzake mijn uurrooster.
ZT58,Mijn directe leidinggevende ervaar ik als beschikbaar of bereikbaar als ik hem/haar nodig zou hebben.
ZT57,Mijn directe leidinggevende ervaar ik als zichtbaar aanwezig op mijn afdeling.
ZT53,Mijn directe leidinggevende behandelt alle collega’s gelijk.
ZT114,Er zijn consequente en duidelijke doelstellingen binnen het team.
ZT142,De directeur patiëntenzorg ervaar ik als zichtbaar en aanspreekbaar.
ZT65,De directie van de organisatie luistert naar en beantwoordt de bekommernissen van de medewerkers.
ZT64,Ik ervaar betrokkenheid  in het bestuur van mijn organisatie via praktijk en beleidsorganen.
ZT121,Er zijn bepaalde competenties die ontbreken in mijn team.
ZT123,Ik kom soms in situaties terecht waar het tekort aan een bepaalde competentie binnen mijn zorgteam leidt tot schade bij de patiënt.
ZT115,Er zijn consequente en duidelijke doelstellingen in deze instelling die de doelstellingen van het team ondersteunen.
ZT41,Ik verlies weinig tijd door het gebruik van de computer.
ZT44,"Gebruiksartikelen (bv. pampers, infusen, verbanden, ontsmettingsalcohol, …) zijn steeds voldoende beschikbaar."
ZT36,Mijn werkomgeving ervaar ik als aangepast aan de soort zorg die ik moet verlenen.
ZT33,Ik verlies veel tijd om de zorg  te kunnen verlenen aan patiënten  veroorzaakt door af te leggen afstanden.
ZT8,Binnen ons zorgteam is er een grote bereidheid om elkaar te helpen.
ZT6,Binnen ons zorgteam heersen éénsgezindheid en harmonie.
ZT144,De collega's waar ik mee samenwerk steunen elkaar.
ZT118,"Artsen waar ik mee werk begrijpen de rollen, kennis en vaardigheden van het zorgteam."
ZT29,Ik voel me 'opgebrand' door mijn werk.
ZT13,Ik ervaar stress door mijn werk.
ZT16,Ik verlies het overzicht over het werk.
ZT21,Ik heb het gevoel dat ik geen controle heb over mijn werk.
ZT17,Ik krijg emotionele steun van mijn teamleden wanneer ik stress ervaar tijdens het werk.
ZT24,Ik moet ongemakkelijke en vermoeiende houdingen aannemen.
ZT25,Ik moet repetitieve (steeds herhalende) arm/handbewegingen maken.
ZT26,Ik moet zware lasten dragen en/of verplaatsen.
ZT27,Ik kan gebruik maken van hulpmiddelen (bv tillift).
ZT125,Ik ben tevreden met de dagelijkse werkverdeling binnen mijn team.
ZT126,Ik ben tevreden met de shiften die ik krijg toebedeeld.
ZT127,Ik neem initiatieven om patiëntsituaties te verbeteren.
ZT102,ik voel me waardeloos als iets mislukt.
ZT101,Ik voel me depressief.
ZT73,"Verantwoord afwijken van bestaande regels, richtlijnen en protocollen wordt besproken."
ZT38,"Er zijn geschreven, recente zorgplannen beschikbaar voor alle patiënten."
ZT2,Rollen zijn helder en werkafspraken worden nageleefd binnen ons zorgteam.
ZT67,Binnen ons zorgteam hebben wij erg veel aandacht voor de veiligheid van onze patiënten.
ZT70,Ik weet dat er collega’s binnen mijn team zijn die de veiligheid van patiënten niet belangrijk vinden.
ZT134,Collega's op onze afdeling kunnen deelnemen aan frequente interne opleidingen.
ZT135,Collega's op onze afdeling kunnen deelnemen aan voortgezette opleidingen.
ZT136,Ik heb voldoende tijd en gelegenheid om problemen met de patiëntenzorg te bespreken met andere collega's.
ZT75,Mijn werk vereist veel vaardigheden en capaciteiten van mij. 
ZT76,Voor mijn werk leer ik voortdurend bij.
ZT89,Ik vind dat ik te veel werk uitvoer dat niet met de rechtstreekse patiëntenzorg te maken heeft.
ZT91,Ik denk dat het mogelijk is op mijn afdeling om de administratieve belasting te verminderen.
ZT90,De administratieve belasting op mijn afdeling ervaar ik als onder controle.
ZT62,Een gesprek met een directielid van mijn organisatie is mogelijk.
ZT39,Ik werk met recent en up-to-date materiaal.
ZT42,Ik heb steeds de nodige apparatuur tot mijn beschikking om mijn werk kwaliteitsvol uit te voeren.
ZT40,De software die ik dagelijks gebruik ervaar ik als gebruiksvriendelijk.
ZT31,Mijn werkplek (de fysieke omgeving) laat mij toe mijn werk eenvoudig en efficiënt uit te voeren.
ZT35,Op momenten waar ik mij moet concentreren kan ik een prikkel- en geluidsarme omgeving opzoeken (bv. briefing in een apart lokaal).
ZT32,Het materiaal dat ik nodig heb om mijn werk uit te voeren kan ik eenvoudig terugvinden.
ZT10,Problemen in verband met de samenwerking met ondersteunende diensten worden steeds aangepakt door het management.
ZT143,De goede samenwerking met de ondersteunende diensten laat mij toe tijd te besteden aan de patiënten.
ZT12,De samenwerking met ondersteunende diensten binnen mijn organisatie verloopt vlot.
ZT1,Mijn collega’s tonen erkenning en waardering voor mijn werk.
ZT5,Ik ervaar veel teamwerk tussen de medewerkers onderling.
ZT7,Binnen ons zorgteam heerst een wij-gevoel.
ZT119,Overleg met artsen ervaar ik als gelijkwaardig  met respect voor de klinische kennis  van het zorgteam.
AZV2,Artsen en het zorgteam werken samen als een team.
AZV1,Artsen en het zorgteam hebben een goede professionele relatie.
ZT28,Ik voel me mentaal uitgeput door mijn werk.
ZT30,Ik voel me gefrustreerd door mijn baan.
ZT129,Ik ben in staat om me aan te passen als er veranderingen optreden.
ZT14,Ik werk onder tijdsdruk.
ZT15,Er wordt te veel van mij gevraagd.
ZT18,Ik kan mij slecht concentreren tijdens het werk.
ZT19,Ik ga oververmoeid en niet voldaan naar huis.
ZT20,Ik ervaar sterke emoties tijdens of na het uitvoeren van mijn werk (bijvoorbeeld een huilbui).
ZT22,Ik maak tijdens mijn werk emotioneel aangrijpende situaties mee die een impact hebben op mijn privéleven.
ZT23,Ik heb last van fysieke klachten die een gevolg zijn van mijn werk.
ZT124,Ik ben over het algemeen tevreden met mijn uurrooster.
ZT128,Ik werk naar specifieke doelen toe die ik voor mezelf heb gesteld.
ZT103,De dingen lijken mij nogal grauw en hopeloos.
ZT122,Ik werk samen met collega's die klinisch bekwaam zijn.
ZT3,Ik werk samen met competente collega’s.
ZT131,Ik ben betrokken bij de continue kwaliteitsverbetering door middel van accreditering en andere initiatieven en vind ik ondersteunend voor het verlenen van mijn zorg.
ZT145,"Communicatie met artsen verloopt op een gepaste en ondersteunend wijze, gericht op de bevordering van de zorgverlening."
ZT37,"Een gestandaardiseerd beleid, standaardprocedures en regels zijn beschikbaar en worden toegepast."
ZT116,In ons team hanteren wij frequente en heldere communicatie.
ZT132,Als ik zelf een fout zou maken dan vind ik het moeilijk om dit bespreekbaar te maken.
ZT69,Als ik een onveilige situatie waarneem dan heb ik steeds de mogelijkheid om dit aan te kaarten en wordt hier iets mee gedaan.
ZT74,Ik vind het erg moeilijk om collega’s aan te spreken als ik zie dat ze een ernstige fout maken. 
ZT72,Wij melden (bijna) incidenten en vertellen hier open over om de zorgverlening voor patiënten te verbeteren.
ZT133,Ons team heeft ruime bevoegdheid over hun eigen werk.
ZT83,Ik kan mijn werk zelfstandig plannen en indelen.
ZT84,Ik moet op mijn werk veel zelfstandige beslissingen nemen.
ZT82,"Wat ik geleerd heb in mijn professionele opleiding, kan ik volledig toepassen in mijn werk."
ZT54,Ik kan bijdragen tot beslissingen van mijn leidinggevenden.
ZT130,"Ik heb de neiging om weer op te veren na ziekte, blessures of andere moeilijke situaties."
ZT4,Sluimerende (soms openlijke) conflicten beheersen de teamsfeer.
ZT68,Er lopen momenteel projecten om de veiligheid van zorg te waarborgen.
ZT66,Wij werken met een actief programma rond kwaliteit en patiëntveiligheid in onze organisatie en ons team.
ZT146,"Ervaren werkdruk door externe invloed (overheid, accreditering) is zeer groot."
ZT80,Ik moet vaak erg veel werk verrichten.
ZT97,Activiteiten verlopen doorgaans zoals gepland.
ZT81,"Ik ervaar de tijd te kort, waardoor ik tijdens het werk onder tijdsdruk sta."
ZT109,Mijn werk brengt mij in vervoering.
ZT107,Ik ben trots op het werk dat ik doe.
ZT106,"Wanneer ik heel intensief aan het werk ben, voel ik mij gelukkig."
ZT98,Op mijn werk bruis ik van energie.
ZT100,Ik ben enthousiast over mijn werk.
AZV3,"Mijn directe leidinggevende steunt mij in mijn beslissingen, ook wanneer het een meningsverschil met een arts betreft."
ZT120,De sleutelrollen in mijn team worden steeds correct ingevuld.
ZT71,In ons team wordt er geleerd van gemaakte fouten zonder een schuldige aan te wijzen.
ZT77,Op mijn werk heb ik de mogelijkheid om deel te nemen aan de ontwikkeling van nieuwe oplossingen en het implementeren van evidentie.
ZT79,Vaak zijn de op te lossen taken erg moeilijk.
ZT85,Bij dit werk moet men teveel zaken tegelijk te doen.
ZT96,Ik ervaar onze dienst als goed en zo voorspelbaar mogelijk georganiseerd.
ZT78,"Het werktempo dat van mij verwacht wordt, ervaar ik als zeer hoog. "
ZT108,Ik ga helemaal op in mijn werk.
ZT104,Mijn werk inspireert mij.
ZT105,Als ik ’s morgens opsta heb ik zin om aan het werk te gaan.
ZT99,Als ik werk voel ik me fit en sterk.
ZT94,Ik ben tevreden met mijn work-life balance.
ZT95,Ik spendeer dagelijks ongeveer ((invulveld cijfer)) uur aan mijn werk tijdens mijn privétijd.
ZT137,"In ons team kennen wij de  pathologie, de klinische uitdagingen en complexiteit van de patiënten die wij verzorgen en ervaren wij als  grotendeels voorspelbaar."
ZT138,Ik heb voldoende klinisch kennis en ervaring zodat ik  de zorg kan verlenen die de patiënten nodig hebben.
ZT139,De patiënten die ik toegewezen krijg tijdens mijn werktijd kan ik voldoende verzorgen volgens hun klinische en fysische noden.
ZT140,De patiënten die ik toegewezen krijg tijdens mijn werktijd kan ik voldoende verzorgen volgens hun mentale en andere noden.
ZT141,Ik streef excellente zorg op basis van evidentie en de noden van patiënten en familie na en kan dit ook daadwerkelijken verlenen.
